s1,s2,s3,s4,s5,s6
76,95.9,74.2,55.6,94.2,88.2
76.7,96.2,74,55.3,94.2,87.9
77.5,96.9,73.7,54.6,94.3,87.6
78.1,134.2,73.3,53.3,94.2,87.4
78.6,161.6,72.9,52.2,94.3,87
79.1,186,72.5,51.4,94.3,86.7
79.4,202.3,72.8,50.9,94.3,86.6
79.4,209.9,73.7,50.9,94.2,86.4
79.1,205,75,51.4,94.1,86.9
77.6,200.1,76.4,52.5,93.8,87.5
75.3,163,77.8,53.6,93.7,88
73.3,138.8,78.9,54.6,93.5,88.8
71.9,123.2,79.7,55.2,93.5,89.3
71.3,113.3,79.9,55.5,93.4,89.5
71.4,107,79.8,55.6,93.4,89.3
71.8,103,79.4,55.7,93.5,88.8
72.3,100.7,78.9,55.7,93.7,88.3
72.8,99.2,78.5,55.8,93.7,87.8
73.3,98.5,78.3,55.7,93.9,87.3
73.6,98,78.3,55.7,93.9,87
73.4,97.4,78.1,55.8,93.9,86.9
72.8,96.7,78.5,55.9,94,86.9
71.5,95.5,79,56.4,93.8,86.9
69.3,94.1,79.6,56.8,93.7,87
66.9,92.6,80.2,56.9,93.5,87
64.9,91.6,80.7,57.1,93.3,86.9
63.1,90.9,81.1,57.4,93.2,86.2
61.5,90.4,81.2,57.5,93.2,86.4
60.2,90.1,81.4,57.8,93.3,86.8
58.4,89.8,81.6,57.9,93.2,87.1
56.1,89.5,81.8,57.9,93.3,87.8
53.1,89.4,82.1,57.8,93.4,88.3
51.4,89.8,82.1,57.9,93.5,88.6
51.2,90.2,81.9,57.8,93.4,88.5
51.9,90.9,81.6,57.5,93.7,88.3
53.1,91.5,81.2,57.2,93.6,87.3
54.7,92.1,80.8,56.9,93.7,87.6
56.3,92.5,80.5,56.7,94,87.8
57.8,93.1,80.1,56.4,94,87.7
59.2,93.7,80,56.3,94.1,87.3
60.1,94.2,79.7,56.3,94,86.9
60.6,94.5,79.9,56.2,94.2,86.6
60.6,94.6,80.2,56.2,94.1,87.1
59.4,94.3,80.6,56.3,94,87.8
57.5,93.7,81,56.7,93.9,88.8
56.7,93.5,81.2,56.9,93.7,89.5
57.2,93.8,81.2,56.7,93.7,89.9
59.2,94.4,80.7,56,93.7,89.9
61.8,95.2,80,55.4,93.7,90
64.7,95.9,78.1,54,94,89.7
67.1,96.3,75.2,52.3,94.4,89.2
68.9,96.6,72.8,51.1,94.8,88.7
70.4,96.8,71.2,50.3,95.1,88.2
71.6,97,70.1,49.5,95.2,88.2
72.3,97.1,69.6,48.9,95.2,87.9
72.6,97.1,69.2,48.5,95.2,87.9
72.7,97.2,69,48.4,95.3,87.9
72.7,97.1,69.2,48.6,95.2,87.7
72.4,96.9,70,49.1,95.2,86.9
71.6,96.4,71.2,50.6,95.2,86.8
70.8,95.9,72.4,52,94.9,87.2
70.1,95.7,73.5,53,94.9,87.6
69.8,95.5,74.1,53.8,95,87.7
69.8,95.4,74.7,54.5,95,87.7
70,95.3,75.1,54.9,95,87.6
70.1,95.2,75.5,55.3,94.9,87.6
70,95.2,76.2,55.7,94.8,87.7
69.9,95.2,77,56,94.6,87.7
69.9,95.3,77.6,56.3,94.4,87.7
69.7,95.3,78,56.4,94.2,87.6
69.4,95.2,78.5,56.7,94.2,87.9
69.2,95.1,78.9,56.9,94.1,88
69,95.1,79.3,57.3,93.9,88
68.8,95.2,79.5,57.5,93.9,88
68.5,95.5,79.7,57.4,94,87.9
68.6,95.9,79.7,57.5,94,88.1
68.6,96.2,79.8,57.3,94.1,88.1
68.6,96.6,79.9,57.4,94,88.3
68.6,96.9,79.9,57.5,94,88.3
68.6,97.1,80.1,57.4,93.9,88.5
68.7,97.2,80.1,57.4,94,88.8
68.6,97.2,80.1,57.3,94,88.9
68.5,97.3,80.2,57.3,94.1,89
68.2,97.2,80.3,57.4,94,89
67.9,97,80.5,57.3,94,89.1
67.6,96.9,80.5,57.4,93.9,89.1
67.3,96.7,80.6,57.6,93.8,89.3
66.9,96.5,80.5,57.5,93.8,89.5
66.4,96.2,80.7,57.6,93.9,89.8
65.8,96,80.9,57.9,94,90.2
64.9,95.6,81.1,57.9,93.8,90.7
63.5,95,81.1,58.1,93.8,91.3
61.6,94.1,81.3,58.3,93.8,92
58.1,92.9,81.5,58.4,93.7,92.7
52.4,91.3,81.8,58.4,93.4,93.3
44.7,88.6,82,58.6,93.2,93.5
36.7,85.5,82,58.4,92.8,93.9
29.2,82.5,82,58.1,92.4,94.4
23.2,79,81.9,57.8,92.1,94.6
19.2,76.1,81.7,57.1,91.9,94.7
16.7,74.2,81.4,56.6,91.9,94.7
15.5,73.7,81.2,56.3,92,94.9
16.2,74.5,81.1,56.3,92.3,95
18.8,75.7,81,56.3,92.5,95.2
21.7,77,81,56.4,92.7,95.6
24.6,78.2,80.9,56.5,92.9,95.4
26.9,79.4,80.9,56.5,93.2,95.4
28.5,80.2,80.8,56.4,93.1,95.5
30.1,81,80.7,56.4,93.1,95.3
31.7,81.8,80.8,56.4,93.2,95.2
33.4,82.7,80.7,56.5,93.2,95.3
35.4,84.2,80.6,56.5,93.3,95
39.9,86.4,80.6,56.4,93.5,94.9
45.7,88.9,80.2,56,93.7,94.3
51.7,91.2,79.8,55.4,93.7,93.6
56.4,92.9,79.4,55,93.9,92.9
60.6,94.3,79.2,54.6,93.9,92.4
63.7,95.4,78.7,54.3,94.1,91.9
66.1,126.9,78.2,53.9,94.2,91.6
67.7,116.5,77.7,53.4,94.3,91.2
69.2,144.5,76.8,52.5,94.4,90.5
70.4,163.6,75.6,51.4,94.5,89.6
71.4,185,74.3,50.7,94.7,88.4
72.5,198.8,73.1,49.9,94.8,87.2
73.3,208.8,71.9,48.7,94.9,86
74.3,227.8,70.2,47,95,85.6
75.7,239.5,67.5,45,95.1,84.9
76.8,246.4,63.7,42.9,95.2,84.2
77.9,248.5,60.2,40.5,95.1,83.4
78.7,253.9,57.2,38.4,95.2,82.7
79.4,257.9,55,37.1,95.3,82.1
80,263.4,53.3,36.3,95.3,81.3
80.4,268.1,52.1,35.6,95.4,81.3
80.7,271,51.1,35,95.6,81.4
81,273.5,50.7,34.6,95.5,80.7
81,274,51,34.9,95.6,80.7
80.8,270.8,51.4,35.6,95.5,81
80.6,265.4,52,36.5,95.4,81.3
80.4,261.3,53.3,37.5,95.4,81.4
79.7,240.8,56,39.9,95.5,82.3
78.3,189.2,60.1,42.6,95.5,82.8
76.9,156,63.3,44.9,95.2,83
75.6,134.6,65.8,46.9,95.1,83.5
74.1,120.5,68,48.5,95.2,83.8
72.8,111,69.8,50.3,95.1,83.9
