s1,s2,s3,s4,s5,s6
47.6,92.4,86.4,73.6,93.6,67.3
47.7,92.3,86.5,73.5,93.6,67.2
47.7,92.3,86.3,73.4,93.5,67.1
47.7,92.4,86.4,73.6,93.5,67.3
47.7,92.3,86.4,73.7,93.5,67.4
47.7,92.2,86.4,73.8,93.5,67.3
48,92.1,86.4,73.7,93.4,67.4
48.5,92.1,86.4,73.6,93.5,67.4
48.8,92.1,86.4,73.7,93.5,67.4
49.1,92.1,86.5,73.6,93.3,67.3
49.6,92,86.5,73.7,93.4,67.3
50,92.1,86.5,73.6,93.3,67.2
50.5,92.2,86.5,73.7,93.3,67
50.9,92.2,86.6,73.7,93.3,67
51.5,92.4,86.6,73.7,93.2,66.9
51.9,92.6,86.6,73.6,93.1,66.7
52.3,92.7,86.7,73.7,93.1,66.6
52.9,92.7,86.9,73.8,93.1,66.5
53.3,92.6,86.7,73.8,93.1,66.6
53.6,92.7,86.6,73.8,93.2,66.5
53.8,92.6,86.6,73.7,93.3,66.5
53.9,92.7,86.8,73.7,93.4,66.3
54,92.7,86.7,73.8,93.5,66.2
54.3,92.6,86.5,73.9,93.4,66.2
54.4,92.5,86.5,73.9,93.4,66.3
54.4,92.5,86.5,73.8,93.3,66.3
54.2,92.5,86.4,73.7,93.2,66.2
54.1,92.5,86.5,73.7,93.4,66.2
54,92.5,86.4,73.7,93.4,66.3
53.9,92.4,86.3,73.6,93.4,66.3
54,92.4,86.3,73.7,93.4,66.3
54,92.4,86.4,73.8,93.3,66.4
53.8,92.2,86.3,73.7,93.5,66.4
53.9,92.4,86.6,73.8,93.5,66.5
53.7,92.3,86.5,73.8,93.5,66.5
53.7,92.4,86.4,73.8,93.5,66.6
53.8,92.4,86.4,73.7,93.6,66.6
54.1,92.5,86.3,73.7,93.6,66.6
54.4,92.4,86.2,73.7,93.7,66.6
54.7,92.5,86.3,73.7,93.7,66.6
55.1,92.5,86.3,73.7,93.7,66.7
55.3,92.6,86.3,73.7,93.6,66.7
55.3,92.7,86.3,73.7,93.6,66.7
55.1,92.5,86.3,73.6,93.6,66.8
54.8,92.4,86.2,73.6,93.6,66.8
54.4,92.4,86.4,73.6,93.6,66.9
54.1,92.4,86.2,73.6,93.8,67
53.8,92.3,86.2,73.7,93.9,67
53.7,92.2,86.3,73.8,93.9,67.1
53.5,92.3,86.4,73.7,93.9,67
53.5,92.2,86.4,73.7,93.7,66.9
53.4,92.2,86.2,73.8,93.8,66.8
53.2,92.1,86.1,73.7,93.8,66.9
53.2,92,86.2,73.7,93.8,67.1
53,92,86.3,73.7,93.7,67
52.9,92.1,86.2,73.6,93.7,67
52.9,92,86.2,73.5,93.8,67.2
52.9,92,86.1,73.4,93.8,67.3
53,92,86.1,73.5,93.9,67.4
52.8,91.9,86,73.6,94,67.4
52.9,91.9,85.9,73.4,93.9,67.3
53,91.9,86,73.4,94,67.2
53.1,91.8,85.9,73.3,93.9,67.3
53.1,91.8,85.8,73.3,94,67.1
53,91.8,85.8,73.2,94.1,67.1
52.9,91.8,85.7,73.3,94.2,67.3
52.7,91.6,85.6,73.2,94.2,67.6
52.5,91.6,85.7,73.3,94.1,67.7
52.3,91.6,85.6,73.3,94.2,67.7
52.2,91.5,85.7,73.2,94.1,67.8
52.2,91.5,85.5,73.2,94.1,67.7
52.1,91.4,85.5,73.2,94.2,67.9
51.9,91.4,85.5,73.2,94.2,68
51.7,91.2,85.5,73.1,94.2,68.2
51.5,91.1,85.4,73,94.4,68.3
51.2,91.1,85.5,73.1,94.4,68.5
51,91,85.5,73,94.4,68.5
50.9,91,85.4,73,94.4,68.4
50.6,90.9,85.4,72.9,94.4,68.4
50.5,90.8,85.1,72.7,94.5,68.3
50.6,90.8,85.1,72.7,94.6,68.2
50.5,90.8,85,72.7,94.5,68.3
50.4,90.8,85,72.7,94.3,68.5
50.4,90.8,85,72.7,94.4,68.4
50.4,90.8,85.2,72.7,94.3,68.4
50.3,90.6,85.3,72.8,94.3,68.5
50.3,90.7,85.3,72.8,94.6,68.6
50.5,90.8,85.3,72.9,94.5,68.5
50.6,90.8,85.3,72.8,94.5,68.5
50.6,90.8,85.2,72.9,94.5,68.6
50.7,90.9,85.1,72.8,94.5,68.8
50.7,90.9,85.1,72.7,94.5,68.7
50.8,90.9,85,72.7,94.5,68.7
50.9,91,85,72.7,94.5,68.7
51.1,90.9,85.1,72.8,94.5,68.6
51.3,91.1,85.1,72.8,94.5,68.7
51.4,91.1,85,72.9,94.7,68.6
51.8,91.1,85,72.9,94.6,68.4
52.2,91.3,85.1,72.9,94.6,68.3
52.4,91.4,84.9,72.8,94.8,68.4
52.4,91.6,84.8,72.8,94.8,68.5
52.3,91.6,84.8,72.8,94.7,68.7
51.9,91.5,84.8,72.8,94.8,68.9
51.8,91.4,84.8,72.8,94.7,69.1
51.4,91.4,84.9,72.9,94.7,69.3
50.9,91.4,84.8,72.9,94.7,69.3
50.5,91.3,84.8,72.9,94.8,69.3
49.5,91.1,84.8,72.8,94.8,69.4
48.6,90.8,84.7,72.8,94.7,69.5
47.4,90.8,84.8,72.7,94.5,69.6
46.2,90.6,84.7,72.7,94.5,69.4
45.6,90.5,84.7,72.8,94.5,69.3
45.2,90.4,84.7,72.7,94.6,69.3
44.8,90.5,84.7,72.8,94.6,69.3
44.7,90.5,84.7,72.8,94.5,69.5
44.7,90.6,84.7,72.7,94.5,69.4
44.7,90.5,84.7,72.7,94.5,69.4
45,90.6,84.6,72.9,94.6,69.5
45.5,90.5,84.8,73,94.5,69.5
46,90.6,84.8,72.9,94.6,69.6
46.5,90.8,84.8,72.9,94.5,69.6
46.8,90.8,84.8,73,94.6,69.6
46.9,90.9,84.8,72.9,94.6,69.7
47.3,90.9,84.8,73,94.6,69.6
47.5,91,84.8,73,94.6,69.5
48.1,91.1,84.9,72.9,94.6,69.3
48.8,91.2,84.9,73,94.6,69.1
49.3,91.2,84.8,73,94.7,69.1
49.4,91.2,84.8,72.9,94.6,69.2
49.7,91.2,84.8,72.9,94.6,69.2
50.1,91.4,85,72.9,94.6,68.9
50.4,91.4,85,72.9,94.6,69
50.5,91.3,85.1,72.9,94.6,69.1
50.6,91.4,85.1,72.8,94.6,69.1
50.8,91.4,85.1,72.8,94.7,69.2
50.9,91.4,85,72.7,94.6,69.1
51,91.6,85,72.9,94.5,69
51.1,91.6,85,72.9,94.4,68.9
51.1,91.5,85.1,73,94.5,68.9
51.1,91.6,85,72.9,94.5,68.8
51.2,91.5,84.9,73,94.7,68.8
51.3,91.4,84.9,72.9,94.7,68.9
51.3,91.5,84.9,73,94.8,69
51.2,91.5,84.9,72.9,94.8,69
51.2,91.4,84.9,72.9,94.6,69.1
51.3,91.5,85,73,94.6,69.2
51.2,91.4,84.9,72.9,94.7,69.1
51.1,91.5,85,73,94.6,69.2
50.8,91.4,84.9,73,94.6,69.4
50.7,91.3,84.9,72.9,94.5,69.3
50.5,91.4,84.8,72.8,94.6,69.4
50.4,91.3,84.7,72.8,94.8,69.4
50.6,91.3,84.6,72.8,94.8,69.3
50.5,91.3,84.7,72.7,94.8,69.3
50.6,91.3,84.7,72.7,94.7,69.3
50.7,91.4,84.6,72.9,94.9,69.3
50.7,91.4,84.5,72.9,94.9,69.4
51,91.5,84.4,72.9,94.9,69.4
