s1,s2,s3,s4,s5,s6
82.9,92.6,76.4,78.1,82.1,56.7
81.6,91.7,79.3,78.7,79.9,55.6
80.9,91.1,81.1,78.9,77.6,53.3
80.7,90.9,82.5,78.8,75.8,50
81.2,91.2,83.3,78.2,74.4,46.2
82.7,91.7,83.5,77.3,74.1,43
84.5,92.4,82.8,76.5,75.3,41.1
86.1,93.1,81.5,75.9,76.7,40.1
87.6,93.5,80.4,75.7,77.6,39.5
88.7,93.9,79.2,75.4,78.2,38.9
89.5,94.1,77.9,75.2,78.6,38.6
90.1,94.2,76.7,75.1,78.7,38.9
90.3,94.1,76.1,75.2,78.9,39.6
90.3,93.8,76.6,75.7,78.9,40.3
89.6,93.3,77.7,76.4,78.1,40.8
88.1,92.7,79.6,77.1,76.4,40.4
85.8,92,81.3,77.6,75,39.8
84.1,91.4,82.4,78,74.1,39.3
83.4,91.3,83.1,78.3,74.1,38.6
83.1,91.5,83.5,78.5,74.2,38
83.3,91.8,83.8,78.8,74,37.2
83.3,91.8,84.1,78.8,73.4,35.8
83.3,92.1,84.4,78.7,72.2,34
82.7,92.3,84.6,78.6,70.4,32
82.3,92.4,84.8,78.6,68.8,29.7
82,92.3,84.8,78.3,67.6,27.5
82.2,92.6,84.9,77.9,66.9,25.8
83.1,93.1,84.6,77.4,68.3,25.2
84.3,93.7,83.8,76.9,70.4,24.8
85.2,94,82.9,76.7,72.2,24.9
86.2,94.4,81.8,76.3,73.2,24.7
87.2,94.6,80.5,75.4,74.2,24.4
88.2,95.1,78.5,74.4,75.8,23.8
89,95.5,75.3,73.4,77.6,22.7
89.5,95.8,71.4,72.5,79.2,21.5
90,95.8,67.8,71.5,80.2,20.9
90.4,95.9,64.4,70,81.1,20.4
90.5,96.2,61,68.5,82,20.1
90.7,96.3,57.7,67.4,82.7,20.4
90.9,96.4,55.1,66.8,83.4,20.8
91,96.5,53.5,66.2,83.8,21.1
91.2,96.4,51.9,65.1,84.1,21.3
91.1,96.5,49.8,63.8,84.3,20.7
91.2,96.4,47.9,62.8,84.5,20.5
91.2,96.5,46.3,62.1,84.7,20.6
91.3,96.5,45.1,61.8,85,21.2
91.2,96.6,44.5,62,85.4,22.4
91.3,96.6,44,62,85.6,23.4
91.3,96.5,43.4,62.1,85.8,24.3
91.2,96.5,43.1,62.5,85.9,25.4
91.2,96.4,43.2,63.2,86.1,26.7
91.1,96.5,43.8,64.2,86.1,28.1
91.1,96.5,44.8,65.3,86.1,29.3
91,96.3,46.2,67.4,85.9,30.5
90.8,96,49,69.6,85.5,31.8
90.6,95.7,51.5,71.1,85.1,32.7
90.5,95.6,54.2,72.3,84.6,33.4
90.4,95.6,56.4,73.2,84.4,33.4
90.2,95.5,58.6,74.1,84.2,33.8
90,95.2,61.2,75.1,83.5,33.8
89.7,95,63.7,75.7,82.4,33.6
89.2,94.9,66.3,76.2,81.4,33.2
88.7,95,68.4,76.6,80.7,32.7
88.3,95,70,76.8,80.3,32.4
88,95,71.5,77.1,79.7,31.8
87.8,94.8,72.7,77.2,79,30.5
87.6,95,73.8,77.3,78.2,28.3
87.6,94.9,74.7,77.1,77.5,26.5
87.6,94.9,75.4,76.8,77.1,24.6
87.6,95.1,75.7,76.7,77,22.9
87.9,95.3,75.8,76.4,77.1,21.6
88,95.3,75.9,76,76.9,20.4
88.2,95.4,75.9,75.8,76.6,19.3
88.4,95.5,75.7,75.5,76.5,18.2
88.7,95.7,75.3,74.9,76.7,17.3
88.9,95.8,74.6,74.6,77,16.7
89.2,95.9,73.9,74.7,77.5,16.7
89.3,95.9,73.4,74.7,77.5,16.7
89.3,96.1,73.5,74.9,77.1,16.4
89.5,96.1,74.2,75.1,76.1,15.8
89.4,96.1,74.8,75.4,74.8,15.2
89.3,96,75.3,75.5,74,15
89.1,95.9,75.5,75.6,73.9,15.2
89.3,95.9,75.3,75.6,74.7,15.4
89.3,96,74.9,75.4,75.4,15.9
89.2,96,74.5,75.4,75.9,16.5
89.1,96,74.3,75.4,76.3,16.8
89,95.9,74.2,75.5,76.6,17.2
89,96,74.2,75.6,77,17.9
88.8,96,74.2,75.6,77.3,18.3
88.8,96,74.3,75.7,77.6,18.6
88.8,96.1,74.1,75.6,78,18.8
88.7,96.2,73.9,75.7,78.2,19
88.8,96.2,73.6,75.6,78.4,18.8
88.9,96.2,73.2,75.3,78.5,18.6
88.9,96.1,72.8,75.1,78.8,18.4
89,96.2,72.5,75,78.9,18.4
88.6,96.1,72.5,75,79,18.5
88.3,96.1,72.5,75.1,79,18.7
88,96,72.4,74.9,79.3,18.9
87.7,96,72.3,74.9,79.6,19.3
87.2,96,72.3,74.8,79.9,19.7
87.1,96.1,72.3,74.9,79.9,19.7
86.8,96.2,72.3,74.9,79.7,19.8
86.8,96.2,72.3,75,79.5,19.7
86.4,96.1,72.1,75,79.4,19.9
86.3,96.1,71.9,74.9,79.5,20.5
86.1,96,71.9,74.9,79.7,21.5
85.8,96.1,71.8,75.2,79.8,22.8
85.7,96.1,71.8,75.4,80.1,23.9
