s1,s2,s3,s4,s5,s6
40.5,90.5,82,74.7,97.1,343.4
41.4,91,82.2,74.6,97.1,344.1
42.2,91.2,82.3,74.6,96.9,342.8
42.7,91.3,82.4,74.7,97,340.9
43.3,91.5,82.4,74.8,97,333.3
43.6,91.7,82.5,74.9,97,329.6
43.9,91.6,82.6,74.9,97.2,336.4
44.2,91.6,82.7,75,97.1,337.3
44.3,91.7,82.7,75,97,331.6
44.5,91.8,82.7,74.9,96.9,329
44.6,91.9,82.7,75,97.1,332
44.7,92,82.8,75,96.9,335.1
44.8,91.9,82.8,74.9,96.9,329.6
44.9,91.9,82.7,75,97,332.9
44.8,91.7,82.7,74.9,96.9,331.1
44.5,91.4,82.8,74.8,97,329.9
44.1,91.3,82.7,74.9,97.1,333.1
43.8,91,82.6,74.9,97.1,331.2
43.4,90.8,82.5,75,97.3,330.5
43,90.7,82.5,74.9,97.3,331.2
42.8,90.5,82.4,74.9,97.2,329.4
42.4,90.4,82.4,74.8,97.2,329.4
41.9,90,82.2,74.9,97.2,326.5
41.2,89.6,82.2,74.8,97.3,323.5
40.7,89.3,82.1,74.9,97.3,330.8
40.5,89.1,82.2,74.9,97.3,336.6
40.4,89,82.2,74.9,97.3,328.8
40.4,89,82.1,74.9,97.3,329
40.3,89.2,82.1,74.9,97.4,331.4
40.6,89.2,82.1,75,97.3,333
40.8,89.6,82,74.9,97.3,335.1
41.2,89.8,82,74.9,97.2,333
41.7,90.1,81.9,74.9,97.2,327.1
42.2,90.3,82.2,75,97.3,324.5
42.6,90.5,82.1,75,97.3,329.1
43.1,90.9,82.2,74.9,97.3,324.6
43.4,90.9,82.3,74.9,97.1,318.2
43.8,91.1,82.2,74.9,97.2,316.5
44,91.3,82.2,74.9,97.4,322.2
44.2,91.5,82.2,75,97.3,320.7
44.5,91.6,82.2,75,97.4,312.9
44.7,91.6,82.1,75,97.3,317.1
44.8,91.5,82.1,74.9,97.2,316.3
44.8,91.6,82,75,97.1,315.2
45,91.6,82,75,97.1,318.5
45.2,91.8,82,75,97.2,323
45.2,91.7,82,75,97.2,323
45.3,91.6,82,75,97.4,318.9
45.2,91.6,82,74.9,97.4,311.2
45.4,91.7,82,74.9,97.4,315.4
45.5,91.8,81.9,74.9,97.3,315.8
45.5,91.8,81.9,74.8,97.3,317.2
45.4,92,81.9,74.9,97.2,326.1
45.4,91.9,81.9,74.9,97.1,327.9
45.4,91.7,81.9,74.9,97.2,329
45.5,91.8,81.9,74.9,97.1,319.3
45.5,91.9,82,75,97,315.4
45.5,92,81.9,75,97,315.2
45.5,92,82,75,97,318.6
45.5,92.1,81.9,75,97.2,323
45.6,92.1,82,75,97.2,317.2
45.6,92.1,82,75,97.3,321.6
45.7,92,82,75,97.3,318.6
45.7,91.9,81.9,74.9,97.4,320.1
45.7,91.9,82,74.9,97.4,322.3
45.7,92.1,81.9,75,97.4,326.5
45.7,92.1,82,75,97.4,327
45.8,92.1,81.9,75.1,97.4,321.5
45.8,92.1,82,75,97.4,322.6
45.9,92,82,75.1,97.3,323.8
46,92.1,82.1,75.2,97.2,324.7
46,92,82.2,75.2,97.1,322.9
46.1,91.9,82.3,75.1,97.2,324
46.1,92.1,82.2,75,97,321.9
46.2,92.1,82.2,75.1,97.2,324.6
46.2,92.1,82.2,75.1,97.2,324.6
46.3,92,82.1,74.9,97.2,325.1
46.3,92,82.1,74.8,97.2,319.2
46.4,92,82.2,74.9,97.2,318.2
46.5,92.2,82.2,75.1,97.3,323.9
46.4,92.2,82.2,75,97.3,323
46.4,92.1,82.1,75,97.3,320.1
46.5,92.3,82.2,75,97.3,324
46.5,92.3,82.1,75,97.3,319.6
46.7,92.3,82.1,75,97.3,319.6
46.7,92.3,82.1,75.1,97.2,322.5
46.6,92.3,82,75,97.1,325.5
46.8,92.3,82.1,75.1,97.2,321.2
46.8,92.3,81.9,75,97.2,320.1
46.9,92.4,82,75.1,97.1,318.2
47,92.3,82.1,75.1,97,315.9
47.1,92.3,82.2,75.2,97,315.5
47.4,92.4,82.2,75.2,97.1,313
47.7,92.5,82.3,75.1,97.2,311.4
48,92.6,82.4,75.1,97.1,321.8
48.4,92.6,82.4,75.2,97,318.2
48.8,92.6,82.4,75.3,97.1,317.6
48.9,92.7,82.4,75.3,97.1,318.9
49.2,93,82.6,75.3,97.1,308.3
49.6,93.2,82.5,75.5,97.1,304.9
49.7,93.2,82.6,75.5,97,308.5
50.1,93.4,82.8,75.5,97,305
50.5,93.5,82.9,75.7,96.9,303.4
51,93.6,83.1,75.7,97,301.8
51.6,93.8,83.3,75.9,96.9,303
51.9,93.9,83.4,75.8,96.9,297.5
52.2,94,83.5,76,96.9,303.2
52.6,94.1,83.6,76.2,96.8,300.5
52.8,94.2,83.7,76.4,96.7,303.3
53,94.3,83.9,76.4,96.7,304
53.2,94.3,83.9,76.4,96.8,303.9
53.1,94.4,83.9,76.4,96.9,307.8
53.2,94.4,83.8,76.3,96.9,309.8
53.2,94.4,83.8,76.5,96.9,305.3
53,94.2,83.8,76.4,96.8,300.7
53,94.1,83.8,76.4,96.9,300.6
52.9,94,83.4,76.3,96.9,304.6
52.8,93.8,83.1,76.2,96.7,304.8
52.4,93.6,83.1,76,96.7,310.2
52.1,93.4,83,76,96.8,310.7
51.6,93.2,83,75.9,96.9,307
51.1,92.9,82.9,75.6,97,309.9
50.4,92.6,82.9,75.6,97,314
49.9,92.4,82.6,75.5,97,318.9
